price_id	sku_key	product	vendor	model	price_type	amount_thb	currency	qty_basis	effective_date	superseded	src_system	src_ref	citation_tag	source	source_detail	date_time
switch:cisco:c9300-24ux-e#hw#2026-05-25	switch:cisco:c9300-24ux-e	switch	cisco	c9300-24ux-e	hw	308640	THB	per_unit	2026-05-25	FALSE	email	gmail:19e5e321e5119e45	🟢	[EXT email 2026-05-25]	VST QT26050030 C9300-24UX-E	2026-05-31T18:30:00+07:00
switch:cisco:c9300-24ux-e#support_yr#2026-05-25	switch:cisco:c9300-24ux-e	switch	cisco	c9300-24ux-e	support_yr	60540	THB	per_unit	2026-05-25	FALSE	email	gmail:19e5e321e5119e45	🟢	[EXT email 2026-05-25]	VST CON-SNTP-C930024U SNTC-24x7x4	2026-05-31T18:30:00+07:00
switch:cisco:c9300-nm-8x#hw#2026-05-25	switch:cisco:c9300-nm-8x	switch	cisco	c9300-nm-8x	hw	48890	THB	per_unit	2026-05-25	FALSE	email	gmail:19e5e321e5119e45	🟢	[EXT email 2026-05-25]	VST C9300-NM-8X module	2026-05-31T18:30:00+07:00
switch:cisco:c9300-dna-e-24#lic_yr#2026-05-25	switch:cisco:c9300-dna-e-24	switch	cisco	c9300-dna-e-24	lic_yr	12630	THB	per_unit	2026-05-25	FALSE	email	gmail:19e5e321e5119e45	🟡	[EXT email 2026-05-25]	VST C9300-DNA-E-24-3Y (3yr TERM total)	2026-05-31T18:30:00+07:00
switch:cisco:c1300-24xts#hw#2026-05-25	switch:cisco:c1300-24xts	switch	cisco	c1300-24xts	hw	102260	THB	per_unit	2026-05-25	FALSE	email	gmail:19e5e321e5119e45	🟢	[EXT email 2026-05-25]	VST C1300-24XTS device	2026-05-31T18:30:00+07:00
switch:cisco:c1300-24xts#support_yr#2026-05-25	switch:cisco:c1300-24xts	switch	cisco	c1300-24xts	support_yr	11970	THB	per_unit	2026-05-25	FALSE	email	gmail:19e5e321e5119e45	🟢	[EXT email 2026-05-25]	VST CON-SNT-C1324XTS SNTC-8x5xNBD	2026-05-31T18:30:00+07:00
switch:alliedtelesis:at-x950-28xtqm#hw#2026-05-22	switch:alliedtelesis:at-x950-28xtqm	switch	alliedtelesis	at-x950-28xtqm	hw	597620	THB	per_unit	2026-05-22	FALSE	email	gmail:19e4fb32364047ff	🟡	[EXT email 2026-05-22]	VST/AT2025090007 disc; list 627,410 - CONFIRM	2026-05-31T18:30:00+07:00
switch:alliedtelesis:at-x950-28xtqm#support_yr#2026-05-22	switch:alliedtelesis:at-x950-28xtqm	switch	alliedtelesis	at-x950-28xtqm	support_yr	45650	THB	per_unit	2026-05-22	FALSE	email	gmail:19e4fb32364047ff	🟢	[EXT email 2026-05-22]	VST AT-x950-28XTQm-NCA1 Net.Cover Adv 1yr	2026-05-31T18:30:00+07:00
switch:alliedtelesis:at-xem2-12xs#hw#2026-05-22	switch:alliedtelesis:at-xem2-12xs	switch	alliedtelesis	at-xem2-12xs	hw	89490	THB	per_unit	2026-05-22	FALSE	email	gmail:19e4fb32364047ff	🟢	[EXT email 2026-05-22]	VST AT-XEM2-12XS v2 line card	2026-05-31T18:30:00+07:00
switch:alliedtelesis:at-pwr600#hw#2026-05-22	switch:alliedtelesis:at-pwr600	switch	alliedtelesis	at-pwr600	hw	50050	THB	per_unit	2026-05-22	FALSE	email	gmail:19e4fb32364047ff	🟢	[EXT email 2026-05-22]	VST AT-PWR600 PSU	2026-05-31T18:30:00+07:00
